ID,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
1.0,39.0, State-gov,77516.0, Bachelors,13.0, Never-married, Adm-clerical,, White, Male,2174.0,,40.0, United-States, <=50K
2.0,50.0, Self-emp-not-inc,83311.0, Bachelors,,,, Husband, White,,0.0,0.0,13.0, United-States,
3.0,38.0, Private,215646.0, HS-grad,9.0, Divorced,,, White, Male,,,, United-States, <=50K
4.0,53.0,,234721.0, 11th,7.0, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0.0,0.0,40.0, United-States, <=50K
5.0,28.0,,, Bachelors,,,,, Black, Female,0.0,,40.0, Cuba,
,37.0,,284582.0, Masters,14.0,, Exec-managerial, Wife, White,,,,40.0, United-States,
,49.0,,160187.0, 9th,5.0, Married-spouse-absent,, Not-in-family, Black, Female,0.0,,16.0, Jamaica, <=50K
8.0,52.0,,209642.0,,9.0, Married-civ-spouse, Exec-managerial,,,,0.0,,45.0, United-States,
,,,45781.0, Masters,14.0, Never-married, Prof-specialty, Not-in-family,, Female,,0.0,50.0, United-States, >50K
,42.0,,159449.0, Bachelors,13.0, Married-civ-spouse,,, White, Male,,,40.0, United-States,
11.0,37.0,,280464.0, Some-college,10.0,, Exec-managerial,, Black, Male,0.0,0.0,80.0, United-States,
,30.0,,141297.0, Bachelors,13.0, Married-civ-spouse,,, Asian-Pac-Islander, Male,0.0,0.0,40.0, India, >50K
13.0,23.0, Private,, Bachelors,13.0, Never-married,, Own-child, White,,,,30.0, United-States,
14.0,32.0, Private,205019.0, Assoc-acdm,12.0,,,, Black, Male,0.0,,50.0, United-States, <=50K
15.0,40.0,,,,11.0, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0.0,,40.0, ?,
16.0,34.0, Private,245487.0, 7th-8th,4.0, Married-civ-spouse,, Husband,,,,,45.0, Mexico,
17.0,25.0, Self-emp-not-inc,, HS-grad,9.0, Never-married, Farming-fishing, Own-child, White, Male,,0.0,35.0, United-States,
18.0,32.0, Private,186824.0,,9.0,, Machine-op-inspct, Unmarried, White, Male,,0.0,40.0, United-States, <=50K
19.0,38.0, Private,,,7.0, Married-civ-spouse,, Husband, White, Male,0.0,,50.0, United-States, <=50K
