age,education,marital-status,relationship,sex,income
39.0, Bachelors, Never-married,<NULL>, Male, <=50K
50.0, Bachelors,<NULL>, Husband,<NULL>,<NULL>
38.0, HS-grad, Divorced,<NULL>, Male, <=50K
53.0, 11th, Married-civ-spouse, Husband, Male, <=50K
28.0, Bachelors,<NULL>,<NULL>, Female,<NULL>
37.0, Masters,<NULL>, Wife,<NULL>,<NULL>
49.0, 9th, Married-spouse-absent, Not-in-family, Female, <=50K
52.0,<NULL>, Married-civ-spouse,<NULL>,<NULL>,<NULL>
<NULL>, Masters, Never-married, Not-in-family, Female, >50K
42.0, Bachelors, Married-civ-spouse,<NULL>, Male,<NULL>
37.0, Some-college,<NULL>,<NULL>, Male,<NULL>
30.0, Bachelors, Married-civ-spouse,<NULL>, Male, >50K
23.0, Bachelors, Never-married, Own-child,<NULL>,<NULL>
32.0, Assoc-acdm,<NULL>,<NULL>, Male, <=50K
40.0,<NULL>, Married-civ-spouse, Husband, Male,<NULL>
34.0, 7th-8th, Married-civ-spouse, Husband,<NULL>,<NULL>
25.0, HS-grad, Never-married, Own-child, Male,<NULL>
32.0,<NULL>,<NULL>, Unmarried, Male, <=50K
38.0,<NULL>, Married-civ-spouse, Husband, Male, <=50K
43.0, Masters, Divorced,<NULL>,<NULL>,<NULL>
40.0, Doctorate, Married-civ-spouse, Husband,<NULL>, >50K
<NULL>,<NULL>, Separated, Unmarried, Female, <=50K
35.0, 9th, Married-civ-spouse, Husband, Male,<NULL>
43.0,<NULL>,<NULL>, Husband, Male, <=50K
59.0, HS-grad,<NULL>, Unmarried, Female,<NULL>
56.0,<NULL>,<NULL>, Husband, Male,<NULL>
19.0, HS-grad, Never-married, Own-child,<NULL>, <=50K
54.0, Some-college, Married-civ-spouse,<NULL>, Male,<NULL>
39.0, HS-grad, Divorced, Not-in-family,<NULL>, <=50K
49.0, HS-grad, Married-civ-spouse,<NULL>,<NULL>, <=50K
23.0,<NULL>, Never-married,<NULL>, Male,<NULL>
<NULL>, Some-college, Never-married, Own-child,<NULL>,<NULL>
45.0, Bachelors,<NULL>, Own-child,<NULL>, <=50K
<NULL>, Some-college, Married-civ-spouse, Own-child, Male,<NULL>
<NULL>, Some-college, Married-civ-spouse,<NULL>,<NULL>, <=50K
<NULL>, 11th, Never-married, Unmarried, Male,<NULL>
21.0, Some-college, Never-married, Own-child, Male, <=50K
19.0, HS-grad, Married-AF-spouse, Wife,<NULL>, <=50K
<NULL>,<NULL>, Married-civ-spouse, Husband,<NULL>, >50K
<NULL>, Assoc-acdm,<NULL>, Husband,<NULL>, <=50K
31.0, 9th,<NULL>, Husband, Male, <=50K
53.0, Bachelors, Married-civ-spouse, Husband,<NULL>,<NULL>
24.0, Bachelors, Married-civ-spouse, Husband, Male, <=50K
49.0,<NULL>, Separated, Unmarried,<NULL>, <=50K
25.0, HS-grad, Never-married, Not-in-family, Male,<NULL>
57.0, Bachelors, Married-civ-spouse, Husband,<NULL>, >50K
53.0, HS-grad, Married-civ-spouse, Husband, Male,<NULL>
44.0, Masters, Divorced, Unmarried, Female,<NULL>
41.0,<NULL>, Married-civ-spouse, Husband, Male,<NULL>
29.0, Assoc-voc, Never-married, Not-in-family,<NULL>, <=50K
25.0,<NULL>, Married-civ-spouse,<NULL>, Female,<NULL>
18.0, HS-grad, Never-married,<NULL>, Female,<NULL>
47.0, Prof-school, Married-civ-spouse, Wife,<NULL>, >50K
50.0, Bachelors, Divorced, Not-in-family, Male, >50K
47.0, HS-grad,<NULL>,<NULL>,<NULL>,<NULL>
43.0,<NULL>, Married-civ-spouse, Husband,<NULL>,<NULL>
46.0, 5th-6th, Married-civ-spouse, Husband, Male,<NULL>
35.0, Assoc-voc, Married-civ-spouse, Husband, Male, <=50K
<NULL>, HS-grad, Married-civ-spouse,<NULL>, Male,<NULL>
30.0, HS-grad,<NULL>, Husband,<NULL>, <=50K
30.0, Bachelors, Married-civ-spouse,<NULL>, Male, <=50K
32.0, 7th-8th, Married-spouse-absent, Not-in-family,<NULL>, <=50K
48.0,<NULL>, Married-civ-spouse, Husband, Male,<NULL>
42.0, Doctorate, Married-civ-spouse, Husband, Male, >50K
29.0, Some-college, Divorced, Not-in-family, Male,<NULL>
36.0, HS-grad, Married-civ-spouse, Husband, Male, <=50K
28.0, Some-college, Divorced, Not-in-family, Female, <=50K
53.0, HS-grad, Married-civ-spouse, Wife,<NULL>,<NULL>
<NULL>, Some-college,<NULL>, Husband,<NULL>,<NULL>
25.0,<NULL>, Never-married, Own-child, Male, <=50K
19.0, Some-college, Never-married, Own-child,<NULL>,<NULL>
31.0, Bachelors,<NULL>, Own-child, Female, <=50K
29.0,<NULL>, Married-civ-spouse,<NULL>, Male,<NULL>
23.0,<NULL>, Never-married, Not-in-family, Male,<NULL>
79.0, Some-college,<NULL>, Other-relative, Male, <=50K
27.0, HS-grad, Never-married, Own-child,<NULL>, <=50K
